UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,L70598,L,297.9,307.1,1525,20.3,238,0,0,0,0,0,0
2,H76399,H,298.6,307.8,1384,32.3,249,0,0,0,0,0,0
3,M37684,M,305.0,314.1,1958,36.3,67,0,0,0,0,0,0
4,L78591,L,300.3,309.7,1009,46.8,248,1,0,0,0,1,0
5,L87722,L,300.7,311.6,1863,38.6,133,0,0,0,0,0,0
6,L12682,L,297.6,309.4,1705,50.5,121,0,0,0,0,0,0
7,L48046,L,296.3,305.0,1404,45.9,210,0,0,0,0,0,0
8,M31832,M,298.4,309.6,1873,45.0,59,0,0,0,0,0,0
9,M26997,M,302.9,312.4,1292,49.7,218,0,0,0,0,0,0
10,M44640,M,300.7,311.0,1718,26.1,243,0,0,0,0,0,0
11,L86882,L,301.2,309.5,1165,34.6,92,1,0,1,0,0,0
12,H50491,H,301.5,312.0,1332,63.8,117,0,0,0,0,0,0
13,M73043,M,298.8,306.8,1332,20.9,139,1,0,1,0,0,0
14,L82725,L,302.8,313.1,1403,36.9,165,0,0,0,0,0,0
15,L55520,L,298.7,309.0,1540,44.6,140,0,0,0,0,0,0
16,L72919,L,302.8,313.0,1390,21.2,27,0,0,0,0,0,0
17,L74442,L,300.9,310.1,1173,32.4,4,0,0,0,0,0,0
18,L31770,L,296.4,307.0,1620,59.8,173,0,0,0,0,0,0
19,L57498,L,298.5,308.9,1546,41.6,45,0,0,0,0,0,0
20,L71477,L,296.4,306.2,1611,34.2,80,0,0,0,0,0,0
21,M10244,M,302.3,313.0,1568,42.0,154,0,0,0,0,0,0
22,L42788,L,300.0,309.9,1708,34.2,153,0,0,0,0,0,0
23,L89453,L,295.5,306.1,1524,57.0,245,1,0,0,0,1,0
24,L67737,L,300.8,310.6,1719,30.0,61,0,0,0,0,0,0
25,L56489,L,298.9,309.1,1399,34.7,195,0,0,0,0,0,0
26,M81303,M,297.0,307.6,1409,25.0,71,0,0,0,0,0,0
27,L38390,L,303.4,313.0,1784,37.0,89,0,0,0,0,0,0
28,L20247,L,300.2,309.0,1780,38.2,96,0,0,0,0,0,0
29,L79051,L,299.4,309.7,1640,51.8,127,0,0,0,0,0,0
30,L69719,L,299.2,310.4,1378,29.8,139,0,0,0,0,0,0
